stratum                           pop    drawn
moped|1-3|large                    18        8
moped|1-3|mid                     240       10
moped|1-3|small                   120        9
moped|4-6|large                    69        9
moped|4-6|mid                     201       10
moped|4-6|small                   238       10
moped|7-10|large                   56        8
moped|7-10|mid                    172        9
moped|7-10|small                  256       10
motorcycle|1-3|large              748       14
motorcycle|1-3|mid                182        9
motorcycle|1-3|small               92        9
motorcycle|4-6|large             1783       21
motorcycle|4-6|mid                581       12
motorcycle|4-6|small              157        9
motorcycle|7-10|large            1443       19
motorcycle|7-10|mid               748       14
motorcycle|7-10|small             281       10
TOTAL                            7385      200
wrote /Users/javi/GitHub/.vdb-worktrees/aud-data/data/review/audit-v2026.09.1/SAMPLE-s2w.yml
