stratum                           pop    drawn
bus|1-3|mid                        40        9
bus|1-3|small                      46        9
bus|4-6|mid                        93        9
bus|4-6|small                      72        9
bus|7-10|mid                       91        9
bus|7-10|small                     61        9
car|1-3|large                     190       11
car|1-3|mid                       342       13
car|1-3|small                      56        9
car|4-6|large                     714       19
car|4-6|mid                      1150       27
car|4-6|small                     180       11
car|7-10|large                    835       21
car|7-10|mid                     1548       33
car|7-10|small                    320       13
car|none|large                     12       12
car|none|mid                       96       17
car|none|small                     12       12
truck|1-3|large                    77        9
truck|1-3|mid                      58        9
truck|1-3|small                    34        9
truck|4-6|large                   161       11
truck|4-6|mid                     133       10
truck|4-6|small                    75        9
truck|7-10|large                  150       10
truck|7-10|mid                    165       11
truck|7-10|small                   70        9
van|1-3|mid                       107       10
van|1-3|small                      39        9
van|4-6|mid                       181       11
van|4-6|small                     108       10
van|7-10|mid                      169       11
van|7-10|small                    116       10
TOTAL                            7501      400
wrote /Users/javi/GitHub/.vdb-worktrees/aud-data/data/review/audit-v2026.09.1/SAMPLE-s4w.yml
