make	probed_nameplate	vehicles	rows	outcome	outcome_live	suggest	raw_samples
Nissan	FDWURVZK13EH5	1	1	nissan/fdwurvzk13eh5	no		FDWURVZK13EH5-----
Subaru	Brz 2.4 Rwd 6MT	1	1	DROPPED	no	subaru/brz	BRZ 2.4 RWD 6MT
Nissan	Fairlady Z Proto	1	1	nissan/fairlady-z-proto	no	nissan/fairlady-z	FAIRLADY Z PROTO
Subaru	Brz Cup Car Basic	1	1	subaru/brz-cup-car-basic	no	subaru/brz	BRZ CUP CAR BASIC
Nissan	Fairlady Z Nismo	1	1	nissan/fairlady-z-nismo	no	nissan/fairlady-z	FAIRLADY Z NISMO
Subaru	Forester 2.0I-S	1	1	subaru/forester-2-0i-s	no	subaru/forester	FORESTER 2.0i-S
Nissan	Fairlady Z Version	1	1	nissan/fairlady-z-version	LIVE	nissan/fairlady-z-version	FAIRLADY Z  VERSION ST
Nissan	BDWARBZN17XHAF	1	1	nissan/bdwarbzn17xhaf	no		BDWARBZN17XHAF---B
Nissan	BDWARBGN17XHB	1	1	nissan/bdwarbgn17xhb	no		BDWARBGN17XHB-----
Nex	Npd	1	1	nex/npd	no		NPD
Subaru	Wrx S4 Sti Sport R EX	1	1	subaru/wrx-s4-sti-sport-r-ex	no	subaru/wrx	WRX S4 STI SPORT R EX AWD
Lotus	Emira I4 First Edition	1	1	lotus/emira-i4-first-edition	no	lotus/emira	EMIRA I4 FIRST EDITION
Toyota	Crown Sport	1	1	toyota/crown-sport	no	toyota/crown	CROWN SPORT RS
Jaguar	F-Pace 5.0L S/C Petrol	1	1	jaguar/f-pace-5-0l-s-c-petrol	no	jaguar/f-pace	F-PACE 5.0L S/C PETROL AWD
JAC	T9EV	1	1	jac/t9ev	no		T9EV
Toyota	Crown Z 2.5L	1	1	toyota/crown-z-2-5l	no	toyota/crown	CROWN Z 2.5L
Toyota	D-Cab 2X4 2.4J Plus	1	1	toyota/d-cab-2x4-2-4j-plus	no		D-Cab 2x4 2.4J Plus
Toyota	D-Cab	1	1	toyota/d-cab	no		D-Cab 4x4 2.8G A/T
JAC	T8EV	1	1	jac/t8ev	no		T8EV
Toyota	Gr 86 RZ	1	1	toyota/gr-86-rz	no		GR 86 RZ
Toyota	Gr 86 RZ 2.4L	1	1	toyota/gr-86-rz-2-4l	no		GR 86 RZ 2.4L
Isuzu	TFS54HPY	1	1	isuzu/tfs54hpy	no		TFS54HPY
Isuzu	TFR86JCRH6	1	1	isuzu/tfr86jcrh6	no		TFR86JCRH6 (P)
Toyota	Gr Supra RZ 6MT	1	1	toyota/gr-supra-rz-6mt	no	toyota/gr-supra	GR SUPRA RZ 6MT
Toyota	Gr Supra RZ Matte White Edit	1	1	toyota/gr-supra-rz-matte-white-edit	no	toyota/gr-supra	GR SUPRA RZ MATTE WHITE EDIT
Isuzu	FXZ77QXDFV	1	1	isuzu/fxz77qxdfv	no		FXZ77QXDFV
Isuzu	CAB4 SL 2.5	1	1	DROPPED	no		CAB4 SL 2.5
Hyundai	Grand Starex	1	1	hyundai/grand-starex	LIVE	hyundai/grand-starex	GRAND STAREX
Hyundai	Genesis G80 EV	1	1	hyundai/genesis-g80-ev	no	hyundai/genesis	GENESIS G80 EV
Toyota	Gr Yaris Rc M/T	1	1	toyota/gr-yaris-rc-m-t	no	toyota/gr-yaris	GR YARIS RC M/T 4WD
Honda	Stepwgn E:hev Spada	1	1	honda/stepwgn-e-hev-spada	no	honda/stepwgn	STEPWGN e:HEV SPADA
Honda	S660 Beta	1	1	honda/s660-beta	LIVE	honda/s660-beta	S660 BETA
Honda	S660 Alpha	1	1	honda/s660-alpha	no	honda/s660	S660 ALPHA
Toyota	GR86 RZ Greddy	1	1	toyota/gr86-rz-greddy	no	toyota/gr86	GR86 RZ GREDDY
Honda	S660	1	1	honda/s660	LIVE	honda/s660	S660
Toyota	GR86 Sz	1	1	toyota/gr86-sz	no	toyota/gr86	GR86 SZ
Honda	Nsx Type S	1	1	honda/nsx-type-s	no	honda/nsx	NSX TYPE S
Toyota	GUN122R-BTFLXT3	1	1	toyota/gun122r-btflxt3	no		GUN122R-BTFLXT3
Toyota	Harrier 2.5	1	1	DROPPED	no	toyota/harrier	HARRIER 2.5 HYBRID Z LEATHER
Honda	Nsx	1	1	honda/nsx	LIVE	honda/nsx	NSX HYBRID
Honda	N-Box Joy Turbo	1	1	honda/n-box-joy-turbo	no	honda/n-box	N-BOX JOY TURBO
Honda	N-Box Custom Turbo	1	1	honda/n-box-custom-turbo	no	honda/n-box	N-BOX CUSTOM TURBO
Lexus	UX250H	1	1	lexus/ux	LIVE		UX250H
Suzuki	Swift GL	1	1	suzuki/swift	LIVE	suzuki/swift	SWIFT GL SPORTS EDITION
Lexus	NX300	1	1	lexus/nx	LIVE		NX300
Lexus	LX600 F Sport	1	1	lexus/lx600-f-sport	no		LX600 F SPORT
Suzuki	Swift Sport	1	1	suzuki/swift-sport	LIVE	suzuki/swift-sport	SWIFT SPORT
Suzuki	Wagon R Smile	1	1	suzuki/wagon-r-smile	no	suzuki/wagon-r	WAGON R SMILE HYBRID X
Lexus	LX 600	1	1	lexus/lx	LIVE	lexus/lx	LX 600
Lexus	LS500	1	1	lexus/ls	LIVE		LS500
Toyota	1.6G	1	1	toyota/1-6g	no		1.6G
Toyota	ACV51R-Jepekt Ac	1	1	toyota/acv51r-jepekt-ac	no		ACV51R-JEPEKT  AC
Toyota	AHV40R-Jexgbt Bl	1	1	toyota/ahv40r-jexgbt-bl	no		AHV40R-JEXGBT  BL
Lexus	LM350H 2.5L 4 Seats	1	1	lexus/lm350h-2-5l-4-seats	no		LM350H 2.5L 4 SEATS
Lexus	LC500 5.0 V8	1	1	DROPPED	no		LC500 5.0 V8
Lexus	LC500	1	1	lexus/lc	LIVE		LC500
Leapmotor	T03 400	1	1	leapmotor/t03-400	no	leapmotor/t03	T03 400
Leapmotor	T03 300	1	1	leapmotor/t03-300	no	leapmotor/t03	T03 300
Leapmotor	B10 Life Bev	1	1	leapmotor/b10-life-bev	no	leapmotor/b10	B10 Life BEV
Lamborghini	Urus Performante V8	1	1	lamborghini/urus-performante-v8	no	lamborghini/urus-performante	URUS PERFORMANTE V8
Lamborghini	Huracan Sterrato	1	1	lamborghini/huracan-sterrato	LIVE	lamborghini/huracan-sterrato	HURACAN STERRATO
Lamborghini	Huracan Evo Spyder	1	1	lamborghini/huracan-evo-spyder	LIVE	lamborghini/huracan-evo-spyder	HURACAN EVO SPYDER
Lamborghini	Aventador Svj 63	1	1	lamborghini/aventador-svj-63	no	lamborghini/aventador-svj	AVENTADOR SVJ 63 COUPE
Kia	EV9 Earth Long Range	1	1	kia/ev9	LIVE	kia/ev9	EV9 EARTH LONG RANGE
Kia	Carnival HEV 7P Premium	1	1	kia/carnival	LIVE	kia/carnival	CARNIVAL HEV 7P PREMIUM
Toyota	Century 5.0L	1	1	toyota/century-5-0l	no	toyota/century	CENTURY 5.0L
Jiayuan	JY7252-Zqr	1	1	jiayuan/jy7252-zqr	no		JY7252-ZQR
Jiayuan	JY7222-Zqr	1	1	jiayuan/jy7222-zqr	no		JY7222-ZQR
Jeep	Wrangler Rubicon 2	1	1	jeep/wrangler-rubicon-2	no	jeep/wrangler	WRANGLER RUBICON 2 DOOR
Jeep	Wrangler Rubicon	1	1	jeep/wrangler	LIVE	jeep/wrangler	WRANGLER RUBICON
Jeep	Wrangler 4	1	1	jeep/wrangler	LIVE	jeep/wrangler	WRANGLER 4 DOOR 2.0 RUBICON
Jeep	Renegade Summit	1	1	jeep/renegade-summit	no	jeep/renegade	RENEGADE SUMMIT E-HYBRID MHEV
