make	probed_nameplate	vehicles	rows	outcome	outcome_live	suggest	raw_samples
Dongfeng	S73	2	1	dongfeng/s73	no		S73
Mercedes-Benz	EQB	2	2	mercedes-benz/eqb	LIVE	mercedes-benz/eqb	EQB 250 | EQB 250+
Dongfeng	Nammi 06	2	1	dongfeng/nammi-06	no		NAMMI 06
Maserati	Granturismo Modena	2	1	maserati/gran-turismo	LIVE		GRANTURISMO MODENA
BMW	Xm Label Rhd	2	1	bmw/xm-label-rhd	no	bmw/xm	XM Label RHD
BMW	Xm Rhd	2	1	bmw/xm-rhd	no	bmw/xm	XM RHD
Daihatsu	Move Canbus Theory G Turbo	2	1	daihatsu/move-canbus-theory-g-turbo	no	daihatsu/move	MOVE CANBUS THEORY G TURBO
Mazda	Roadster 990S 1.5L	2	1	mazda/roadster-990s-1-5l	no	mazda/roadster	ROADSTER 990S 1.5L
Daihatsu	Move Canbus Theory G	2	1	daihatsu/move-canbus-theory-g	no	daihatsu/move	MOVE CANBUS THEORY G
Jaguar	F-Type 2.0 Litre T/C Petrol	2	1	DROPPED	no	jaguar/f-type	F-TYPE 2.0 LITRE T/C PETROL
Chevrolet	Corvette Z06	2	2	chevrolet/corvette	LIVE	chevrolet/corvette	CORVETTE Z06 | CORVETTE Z06 CONVERTIBLE 3LZ
Maxus	MIFA9	2	1	maxus/mifa9	no		MIFA9
Ford	Mustang Dark Horse	2	1	ford/mustang	LIVE	ford/mustang	MUSTANG DARK HORSE
Jeep	Gladiator Rubicon	2	1	jeep/gladiator-rubicon	no	jeep/gladiator	GLADIATOR RUBICON
Daihatsu	Copen Cero S	2	1	daihatsu/copen-cero-s	no	daihatsu/copen	COPEN CERO S
Daihatsu	Copen Gr Sport	2	1	daihatsu/copen-gr-sport	no	daihatsu/copen	COPEN GR SPORT
Aion	Hyptec Ssr	2	1	aion/hyptec-ssr	no		HYPTEC SSR
Honda	N-Box Custom L Turbo	2	1	honda/n-box-custom-l-turbo	no	honda/n-box	N-BOX CUSTOM L TURBO
Ora	Grand Cat	2	1	ora/grand-cat	no		GRAND CAT
Lexus	GX550	2	1	lexus/gx	LIVE		GX550
Nissan	Teana	2	1	nissan/teana	LIVE	nissan/teana	TEANA
Alpine	A110 S	2	1	alpine/a110-s	no	alpine/a110	A110 S
Land Rover	Range Rover Evoque	2	1	land-rover/range-rover-evoque	LIVE	land-rover/range-rover-evoque	RANGE ROVER EVOQUE 1.5LITRE
Aston Martin	DB12	2	1	aston-martin/db12	LIVE	aston-martin/db12	DB12 COUPE
Nissan	Note	2	1	nissan/note	LIVE	nissan/note	NOTE
Nissan	March	2	1	nissan/march	LIVE	nissan/march	MARCH
Aston Martin	DB12 V8	2	1	aston-martin/db12	LIVE	aston-martin/db12	DB12 V8 COUPE
Lamborghini	Huracan Evo	2	1	lamborghini/huracan-evo	LIVE	lamborghini/huracan-evo	HURACAN EVO
Aston Martin	Dbx 707	2	1	aston-martin/dbx707	LIVE	aston-martin/dbx	DBX 707
Fengchi	DYQ1030BEV1-H	2	1	fengchi/dyq1030bev1-h	no		DYQ1030BEV1-H
Hyundai	Elantra N	2	1	hyundai/elantra	LIVE	hyundai/elantra	ELANTRA N
Audi	R8	2	2	audi/r8	LIVE	audi/r8	R8 SPYDER V10 | R8 V10 COUPE
Nissan	GT-R Nismo	2	1	nissan/gt-r	LIVE	nissan/gt-r	GT-R NISMO
Honda	Step Wgn E-HEV Spada	2	1	honda/step-wgn-e-hev-spada	no		STEP WGN e-HEV SPADA
Honda	Step Wgn Air	2	1	honda/step-wgn-air	no		STEP WGN AIR
Nissan	GT-R Nismo Special Edition	2	1	nissan/gt-r-nismo-special-edition	no	nissan/gt-r	GT-R NISMO SPECIAL EDITION
Lexus	LS500H	2	1	lexus/ls	LIVE		LS500H
Lamborghini	Aventador Ultimae	2	1	lamborghini/aventador-ultimae	LIVE	lamborghini/aventador-ultimae	AVENTADOR ULTIMAE
Ford	Mustang 5.0 GT	1	1	DROPPED	no	ford/mustang	MUSTANG 5.0 GT FASTBACK
Ford	Everest ZFAE9BC	1	1	ford/everest-zfae9bc	no	ford/everest	FORD EVEREST zFAE9BC
Ford	Fiesta	1	1	ford/fiesta	LIVE	ford/fiesta	FORD FIESTA
Toyota	Prius	1	1	toyota/prius	LIVE	toyota/prius	PRIUS
Ford	Mustang 5.0 GT Premium	1	1	DROPPED	no	ford/mustang	MUSTANG 5.0 GT PREMIUM
Toyota	Roomy Custom GT	1	1	toyota/roomy-custom-gt	no	toyota/roomy	ROOMY CUSTOM GT
Ferrari	SF90 Xx Stradale	1	1	ferrari/sf90-xx-stradale	LIVE	ferrari/sf90-xx-stradale	SF90 XX STRADALE
Toyota	Vellfire Z G Edition	1	1	toyota/vellfire-z-g-edition	no	toyota/vellfire	VELLFIRE Z G EDITION
Ford	Mustang 2.3L Ecoboost	1	1	ford/mustang-2-3l-ecoboost	no	ford/mustang	MUSTANG 2.3L ECOBOOST FASTBACK
Toyota	Vellfire 250	1	1	toyota/vellfire-250	no	toyota/vellfire	VELLFIRE 250
Toyota	Vellfire 2.5ZG Edition	1	1	toyota/vellfire-2-5zg-edition	no	toyota/vellfire	VELLFIRE 2.5ZG EDITION
Ferrari	SF90 Spider	1	1	ferrari/sf90-spider	LIVE	ferrari/sf90-spider	SF90 SPIDER
Ford	Ranger IFBT9AH	1	1	ford/ranger-ifbt9ah	no	ford/ranger	FORD RANGER iFBT9AH
Toyota	Land Cruiser 250 Gx	1	1	toyota/land-cruiser-250-gx	no	toyota/land-cruiser	LAND CRUISER 250 GX
Honda	N Box Custom	1	1	honda/n-box-custom	no	honda/n-box	N BOX CUSTOM
Toyota	Land Cruiser 250 Vx 2.8L	1	1	toyota/land-cruiser-250-vx-2-8l	no	toyota/land-cruiser	LAND CRUISER 250 VX 2.8L
Honda	Mobilio	1	1	honda/mobilio	LIVE	honda/mobilio	MOBILIO
Honda	Fit	1	1	honda/fit	LIVE	honda/fit	FIT RS
Honda	E Advance	1	1	honda/e-advance	LIVE	honda/e-advance	E ADVANCE
Honda	Cr-V'14	1	1	honda/cr-v-14	no		CR-V'14
Toyota	Land Cruiser 300 Sahara 3.3L	1	1	toyota/land-cruiser-300-sahara-3-3l	no	toyota/land-cruiser	LAND CRUISER 300 SAHARA 3.3L
Toyota	Land Cruiser 300 Sahara ZX	1	1	toyota/land-cruiser-300-sahara-zx	no	toyota/land-cruiser	LAND CRUISER 300 SAHARA ZX
Honda	Civic Type R Racing Black	1	1	honda/civic-type-r-racing-black	no	honda/civic-type-r	CIVIC TYPE R RACING BLACK
GMC	Yukon Denali	1	1	gmc/yukon-denali	LIVE	gmc/yukon-denali	YUKON DENALI
Toyota	Land Cruiser 300 ZX Diesel	1	1	toyota/land-cruiser-300-zx-diesel	no	toyota/land-cruiser	LAND CRUISER 300 ZX DIESEL
GMC	Hummer EV2X	1	1	gmc/hummer-ev2x	no	gmc/hummer	HUMMER EV2X
Toyota	Land Cruiser 70 Ax 2.8L	1	1	toyota/land-cruiser-70-ax-2-8l	no	toyota/land-cruiser	LAND CRUISER 70 AX 2.8L 4WD
